,url,listing_type,name,price,bedrooms,bathrooms,floor_area,location,amenities,region,locality,parking_space,is_furnished,lat,lng,category_Detached,category_Duplex,category_Flats,category_Mansion,category_Semi-Detached,category_Townhouse,condition_New,condition_Renovated,condition_Used
209,https://tonaton.com/a-MfYFNdCgJvBUClP2kWdaqFegOgBx08LT-3bdrm-apartment-in-charclem-ventures-dome-for-rent.html,rentals,"3bdrm Apartment in Charclem Ventures, Dome for rent",3000.0,3,3,145.0,"Greater Accra, Dome","24-hour Electricity,Chandelier,Dining Area,Hot Water,Kitchen Cabinets,Kitchen Shelf,Pop Ceiling,Pre-Paid Meter,Tiled Floor,Wardrobe",Greater Accra,Dome,0,1,5.6562651,-0.2338473,0,0,1,0,0,0,0,0,1
210,https://tonaton.com/a-LuubBC0fZ7owDgS7qJUp33Q0IJokqdy-2bdrm-apartment-in-dome-pillar-2-for-rent.html,rentals,2bdrm Apartment in Dome Pillar 2 for rent,7000.0,2,3,110.0,"Greater Accra, Dome, Pillar 2","Air Conditioning,Apartment,Dining Area,Hot Water,Kitchen Cabinets,Kitchen Shelf,Pop Ceiling,Pre-Paid Meter,Tiled Floor,Wardrobe",Greater Accra,Dome,0,1,5.6529542,-0.2170221,0,0,1,0,0,0,1,0,0
211,https://tonaton.com/a-MfYFNdCh2sqXHXQ7bQOO9LDo7dmgCnbD-1bdrm-apartment-in-ahodwo-sokoban-kumasi-metropolitan-for-rent.html,rentals,"1bdrm Apartment in Ahodwo Sokoban, Kumasi Metropolitan for rent",1300.0,1,1,14.0,"Ashanti, Kumasi Metropolitan","24-hour Electricity,Air Conditioning,Apartment,Dining Area,Dishwasher,Kitchen Cabinets,Kitchen Shelf,Pop Ceiling,Pre-Paid Meter,Tiled Floor",Ashanti,Kumasi Metropolitan,0,1,6.6932173,-1.627507,0,0,1,0,0,0,1,0,0
212,https://tonaton.com/a-MfYFNdCgGPqYy6iiJGgjjDWIXKzQcY9p-3bdrm-house-in-greda-estate-teshie-for-rent.html,rentals,3bdrm House in Greda Estate Teshie for rent,5000.0,3,2,700.0,"Greater Accra, Teshie, Greda Estate","Kitchen Shelf,Pop Ceiling,Pre-Paid Meter",Greater Accra,Teshie,0,0,5.61839,-0.1035441,1,0,0,0,0,0,0,1,0
213,https://tonaton.com/a-MfYFNdCgrRBQuEqbYJbKYzNtBxSpDVAK-2bdrm-duplex-in-upsa-accra-metropolitan-for-rent.html,rentals,"2bdrm Duplex in Upsa, Accra Metropolitan for Rent",7000.0,2,3,900.0,"Greater Accra, Accra Metropolitan","Pre-Paid Meter,Pop Ceiling,24-hour Electricity,Air Conditioning,Wardrobe,Dining Area,Tiled Floor,Kitchen Cabinets,Balcony,Hot Water",Greater Accra,Accra Metropolitan,0,0,5.5459415,-0.2103988,0,1,0,0,0,0,1,0,0
214,https://tonaton.com/a-MfYFNdCgcvVvVenksthiqrjQcHf3I9n7-furnished-4bdrm-house-in-kumasi-metropolitan-for-rent.html,rentals,Furnished 4bdrm House in Kumasi Metropolitan for rent,1100.0,4,2,800.0,"Ashanti, Kumasi Metropolitan","Pre-Paid Meter,Kitchen Shelf,Dining Area,24-hour Electricity,Kitchen Cabinets",Ashanti,Kumasi Metropolitan,0,2,6.6932173,-1.627507,1,0,0,0,0,0,0,0,1
215,https://tonaton.com/a-MfYFNdCgQF86OjWU0uuy6L7ydeXCQGa7-3bdrm-house-in-community-18-spintex-for-rent.html,rentals,"3bdrm House in Community 18, Spintex for rent",3500.0,3,3,400.0,"Greater Accra, Spintex","24-hour Electricity,Chandelier,Dining Area,Dishwasher,Kitchen Cabinets,Kitchen Shelf,Pop Ceiling,Pre-Paid Meter,Tiled Floor,Wardrobe",Greater Accra,Spintex,0,0,5.6376136,-0.1266064,1,0,0,0,0,0,0,0,1
216,https://tonaton.com/a-MfYFNdCgAd6zIBGgf1kQemrNNPYwyEaq-2bdrm-apartment-in-lashibi-spintex-for-rent.html,rentals,"2bdrm Apartment in Lashibi, Spintex for rent",2000.0,2,2,5000.0,"Greater Accra, Spintex","24-hour Electricity,Apartment,Balcony,Chandelier,Dining Area,Dishwasher,Hot Water,Kitchen Cabinets,Kitchen Shelf,Pop Ceiling,Pre-Paid Meter,Tiled Floor,Wardrobe,Wi-Fi",Greater Accra,Spintex,0,0,5.6376136,-0.1266064,0,0,1,0,0,0,1,0,0
217,https://tonaton.com/a-MfYFNdCgxQlwtGGTS8cP1Q0k6bTsW5bL-3bdrm-house-in-the-dorns-properties-new-town-for-rent.html,rentals,"3bdrm House in the Dorns Properties, New Town for Rent",3000.0,3,3,13.0,"Greater Accra, Teshie, Teshie New Town","Wardrobe,24-hour Electricity,Kitchen Cabinets,Pre-Paid Meter,Dining Area,Dishwasher,Tiled Floor",Greater Accra,Teshie,0,0,5.5831665,-0.1046082,1,0,0,0,0,0,0,0,1
218,https://tonaton.com/a-MfYFNdCgf2AAw74QW49CUuKdv4oYaTkM-3bdrm-house-in-east-legon-for-rent.html,rentals,3bdrm House in East Legon for Rent,10052.0,3,4,145.0,"Greater Accra, East Legon","24-hour Electricity,Air Conditioning,Balcony,Chandelier,Dining Area,Hot Water,Kitchen Cabinets,Kitchen Shelf,Pop Ceiling,Pre-Paid Meter,Tiled Floor,Wardrobe",Greater Accra,East Legon,0,1,5.6358281,-0.1613592,1,0,0,0,0,0,0,0,1
219,https://tonaton.com/a-MfYFNdCgp2DjubCUaSHgZ7d6uSmML1nj-2bdrm-apartment-in-atasamanso-kumasi-metropolitan-for-rent.html,rentals,"2bdrm Apartment in Atasamanso, Kumasi Metropolitan for Rent",3000.0,2,3,80.0,"Ashanti, Kumasi Metropolitan","Dining Area,Pre-Paid Meter,Tiled Floor,Air Conditioning,Pop Ceiling,Chandelier,Balcony,Wardrobe,24-hour Electricity,Kitchen Cabinets,Apartment",Ashanti,Kumasi Metropolitan,0,1,6.6932173,-1.627507,0,0,1,0,0,0,1,0,0
220,https://tonaton.com/a-MfYFNdCgp5epTEyh7rwewocQdqJqnGo4-1bdrm-apartment-in-ghana-property-mall-adenta-for-rent.html,rentals,"1bdrm Apartment in Ghana Property Mall, Adenta for rent",1000.0,1,1,100.0,"Greater Accra, Adenta","24-hour Electricity,Apartment,Dishwasher,Pre-Paid Meter,Tiled Floor",Greater Accra,Adenta,0,0,5.7141674,-0.15418,0,0,1,0,0,0,0,0,1
221,https://tonaton.com/a-MfYFNdCgf87QpnlGERrI813aNH0dwoez-1bdrm-apartment-in-commandos-for-rent.html,rentals,1bdrm Apartment in Commandos for rent,800.0,1,1,1000.0,"Greater Accra, Adenta, Commandos","24-hour Electricity,Kitchen Shelf",Greater Accra,Adenta,0,0,5.721611,-0.1457823,0,0,1,0,0,0,0,0,1
